"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:05:52.4581669","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C04\4&34ff65f&0","SUCCESS",""
"21:05:52.4581948","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0000\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.4582400","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0000\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4582839","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0000\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.4582993","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0000\4&34ff65f&0","SUCCESS",""
"21:05:52.4583267","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0800\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.4583512","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0800\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4583932","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0800\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.4584107","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0800\4&34ff65f&0","SUCCESS",""
"21:05:52.4584391","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0100\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.4584637","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0100\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4585056","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0100\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.4585211","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0100\4&34ff65f&0","SUCCESS",""
"21:05:52.4585486","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\1","SUCCESS","Desired Access: Read"
"21:05:52.4585749","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\1\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4586173","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\1\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.4586326","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C02\1","SUCCESS",""
